content,score
"O aplicativo é bom referente ao restaurante mas nem sempre é possível acompanhar a entrega em tempo real. Referente ao mercado é péssimo!!! Impossível concluir uma compra nesta modalidade pois enquanto está selecionando os itens o aplicativo trava, fecha e perde-se tudo, principalmente o tempo!!! Para ficar ruim precisa melhorar bastante!!!",1
"Não comprem cupons de desconto, pois nunca mais tive acesso às promoções de lanches a dez reais e outras. Não vale a pena, no fim você paga mais. Outro detalhe, tem aquele programa fidelidade, não funciona direito, comprei mais de três vezes no restaurante com essa opção, porém sempre zera quando faço uma nova compra. Horrível!!",1
"Não consigo fazer compras pelo app no mercado, fica aparecendo a mensagem que a promoção não está mais disponível e não tem cupom ou promoção selecionada, os preços das entregas estão incorretos informando que é grátis e está cobrando. Uso app porque é mais viável mais infelizmente não está sendo coerente com minha experiência já foi muito bom mais está desejando a desejar, pois a comunicação com app é inviável não sendo possível agilidade nas respostas e contatos.",1
"O app é bom, mas tem bugs referentes a cupons e também com pagamentos via cartão de crédito/débito. As vezes cupons de primeira compra simplesmente não funciona ou não posso selecionar tal cartão sendo que estou de acordo com as regras... E sobre os cartões, tem hora que o ifood não quer aceitar nenhum tipo de pagamento via cartão, as vezes acho que é problema com um cartão, vou lá e troco ele, e o app diz a mesma coisa ""Forma de pagamento indisponível"" pra todos os cartões que eu tento...",1
"Ultimamente, o atendimento está muito ruim. O único atendimento é pela plataforma, não tem telefone para comunicação, nem WhatsApp. Se der problema com o pedido, o atendimento é precário, levando vários dias para ser atendido. Além do mais, na maioria das vezes, os problemas não são analisados, talvez pelo volume de reclamações, e são enviadas mensagens automáticas, fechando a reclamação em menos de 1min de análise, tendo que reescrever todo o caso novamente.",1
"Uso faz tempo, mas foi a primeira vez que aconteceu, fui fazer o pedido e tinha um item promocional e com entrega grátis, um negócio bom né, na hora em que paguei o valor veio normal e com taxa de entrega, percebi somente após o pagamento, cara, isso beira a fraude, pois na hora que eu entrei no app novamente, o valor promocional já não estava mais lá. Péssimo, pois pelo valor cobrado eu teria escolhido outra coisa.",1
"Fazer compras de mercado está horrível. Se o preço alterar durante o pedido (que demora, as vezes vc vai escolher 30, 40 itens), ou mudar estoque, vc tem que revisar o pedido mas ai o app fecha e vc perde tudo o que escolheu. Qq coisa o app fecha e vc perde tudo. O carrinho devia ser persistente, se encerrar o app vc poder voltar de onde parou.",1
"Passando raiva, aplicativo já atualizado e reinstalei diversas vezes pra ver se resolvia o problema e nada. Simplesmente estou fazendo a compra na sessão ""mercado"" e sempre quando estou quase finalizando o app pára e fecha sozinho. Ou seja eu tenho que colocar tudo de novo na sacola e fiz isso 3x, desisti de usar o app. Mais rápido pegar um Uber e ir pessoalmente no mercado.",1
"O aplicativo é bom, mesmo que os restaurantes cobram mais caro pelo app do que fazendo pedido direto. O problema é quando ocorrem problemas com as entrega, o processo é super burocrático e não funciona. No final, você tem que pagar por algo que consumiu e mem recebeu. A experiência com atendimento e resolver imprevistos é realmente péssima e não recomendo a ninguém.",1
Tem bug na pesquisa de produto. Entra em mercado e tenta pesquisar algo não retorna nada mesmo tendo o produto. Na web o saldo não é atualizado. Fiquei meia hora procurando o saldo da minha carteira. Isso deveria estar na tela inicial (ux horrível). Suporte é outra coisa que até agora não achei. 🤔 Cupons que aparecem é somente para crédito. (Se colocar saldo na carteira dançou) aí deste jeito nem vejo vantagem em assinar algo... Experiência frustrante,1
